run_name,epoch,iter,global_iter,loss,acc,lr,time_avg,data_time_avg
segnet_baseline,1,0,0,5.00070333480835,0.0,0.01,1.3733770847320557,0.02838301658630371
segnet_baseline,1,0,0,5.00070333480835,0.0,0.01,1.3210477828979492,0.029458045959472656
segnet_baseline,1,1,1,4.9856953620910645,0.0,0.009977497184918487,1.290155291557312,0.019420504570007324
segnet_baseline,1,2,2,4.9905686378479,0.0,0.00995498872932069,1.1830228169759114,0.016066630681355793
segnet_baseline,1,3,3,4.988367557525635,0.0,0.009932474617615258,1.1267648935317993,0.013575255870819092
segnet_baseline,1,4,4,4.985752582550049,0.0,0.009909954834128341,1.0947215557098389,0.012116241455078124
segnet_baseline,1,5,5,4.9683427810668945,0.0,0.009887429363102976,1.0722936391830444,0.011315544446309408
segnet_baseline,1,6,6,5.0177741050720215,0.0,0.009864898188698403,1.1172922679356165,0.011355468205043249
segnet_baseline,1,7,7,5.013801097869873,0.0,0.00984236129498943,1.1382748782634735,0.011190056800842285
segnet_baseline,1,8,8,5.029904365539551,0.0,0.009819818665965752,1.1510549916161432,0.011055284076266818
segnet_baseline,1,9,9,5.048864364624023,0.0,0.00979727028553129,1.1303618907928468,0.010472440719604492
segnet_baseline,1,10,10,5.076964378356934,0.0,0.009774716137503496,1.1239039897918701,0.010135412216186523
segnet_baseline,1,11,11,5.0207109451293945,20.444779098033905,0.00975215620561268,1.148801565170288,0.01014697551727295
segnet_baseline,1,12,12,5.026641368865967,0.0,0.009729590473501306,1.1586413933680608,0.010043602723341722
segnet_baseline,1,13,13,5.0982232093811035,0.0,0.009707018924723294,1.1835252046585083,0.009938546589442663
segnet_baseline,1,14,14,4.949753761291504,0.0,0.009684441542743309,1.1891957918802898,0.009878778457641601
segnet_baseline,1,15,15,4.972463607788086,0.0,0.009661858310936048,1.215948686003685,0.009744435548782349
segnet_baseline,1,16,16,4.938578128814697,0.0,0.009639269212585509,1.2183261759140913,0.009800812777350931
segnet_baseline,1,17,17,4.963178634643555,0.0,0.009616674230884265,1.223671277364095,0.00977170467376709
segnet_baseline,1,18,18,5.006831645965576,0.0,0.00959407334893272,1.230525255203247,0.009839459469443873
segnet_baseline,1,19,19,4.984669208526611,0.0,0.009571466549738358,1.2408759355545045,0.009913897514343262
segnet_baseline,1,20,20,4.993130207061768,0.0,0.009548853816214998,1.2450707639966692,0.009927670160929361
segnet_baseline,1,21,21,4.944541931152344,0.0,0.009526235131182018,1.2463461377403953,0.009930177168412642
segnet_baseline,1,22,22,4.963995456695557,14.332719147205353,0.009503610477363587,1.246537218923154,0.010036344113557236
segnet_baseline,1,23,23,4.940054893493652,29.199010133743286,0.009480979837387889,1.2475550870100658,0.010087827841440836
segnet_baseline,1,24,24,4.840478897094727,57.07496404647827,0.009458343193786321,1.250805034637451,0.010068187713623047
segnet_baseline,1,25,25,4.908829689025879,0.0,0.009435700528992709,1.2508526490284846,0.010002723106971154
segnet_baseline,1,26,26,4.879075050354004,0.0,0.009413051825342491,1.2544634783709492,0.010008847271954571
segnet_baseline,1,27,27,4.951840400695801,0.0,0.009390397065071908,1.2609009657587325,0.009973602635519845
segnet_baseline,1,28,28,4.810889720916748,0.0,0.009367736230317175,1.2612191726421487,0.00998067855834961
segnet_baseline,1,29,29,4.878131866455078,0.0,0.009345069303113653,1.263864231109619,0.009870656331380208
segnet_baseline,1,30,30,4.786953926086426,53.391826152801514,0.009322396265394996,1.263954354870704,0.009834535660282258
